employer,employer_url,ats,search_term,job_title,job_url,captured_at
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Skip to main content,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1#content,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Blogs,https://www.unitedhealthgroup.com/careers/en/job-seeker-resources/blog.html,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Job seeker resources,https://www.unitedhealthgroup.com/careers/ph/job-seeker-resources.html,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Login,https://uhg.taleo.net/careersection/10000/mysubmissions.ftl?lang=en,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Bookmarked jobs ( 0 ),https://careers.unitedhealthgroup.com/saved-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Join our talent community,https://www.unitedhealthgroup.com/careers/en/job-seeker-resources/join-our-talent-community.html,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Clinical ›,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Corporate and business operations ›,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Customer and support services ›,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Early careers›,https://careers.unitedhealthgroup.com/early-careers-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Sales and account management ›,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Technology and data›,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Physicians,https://careers.unitedhealthgroup.com/physicians-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Advanced practice clinicians,https://careers.unitedhealthgroup.com/advanced-practice-clinicians-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Pharmacy,https://careers.unitedhealthgroup.com/pharmacy-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Behavioral health,https://careers.unitedhealthgroup.com/behavior-health-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Nursing,https://careers.unitedhealthgroup.com/nursing-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Medical coding,https://careers.unitedhealthgroup.com/medical-coding-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Clinical support,https://careers.unitedhealthgroup.com/search-jobs/research/34088/1,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Culture of Belonging,https://www.unitedhealthgroup.com/careers/en/life/culture.html,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Employee Benefits,https://www.unitedhealthgroup.com/careers/en/life/benefits.html,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Blog,https://www.unitedhealthgroup.com/careers/en/job-seeker-resources/blog.html,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Administrative support,https://careers.unitedhealthgroup.com/admin-support-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Consulting,https://careers.unitedhealthgroup.com/consulting-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Finance and business analytics,https://careers.unitedhealthgroup.com/finance-business-analytics-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Legal and compliance,https://careers.unitedhealthgroup.com/legal-and-compliance-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Marketing and communications,https://careers.unitedhealthgroup.com/marketing-and-communications-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,People team,https://careers.unitedhealthgroup.com/people-team-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Project management,https://careers.unitedhealthgroup.com/project-management-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Billing,https://careers.unitedhealthgroup.com/billing-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Claims,https://careers.unitedhealthgroup.com/claims-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Customer Service,https://careers.unitedhealthgroup.com/customer-service-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Data entry,https://careers.unitedhealthgroup.com/data-entry-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Early careers,https://careers.unitedhealthgroup.com/early-careers-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Account management,https://careers.unitedhealthgroup.com/account-management-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Sales,https://careers.unitedhealthgroup.com/sales-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Sales management,https://careers.unitedhealthgroup.com/sales-management-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Artificial intelligence,https://careers.unitedhealthgroup.com/ai-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Architecture,https://careers.unitedhealthgroup.com/architecture-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Business systems analysis,https://careers.unitedhealthgroup.com/business-systems-analysis-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Data analytics,https://careers.unitedhealthgroup.com/data-analytics-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Data engineering,https://careers.unitedhealthgroup.com/data-engineering-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Data science,https://careers.unitedhealthgroup.com/data-science-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Network infrastructure,https://careers.unitedhealthgroup.com/network-infrastructure-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Product management & development,https://careers.unitedhealthgroup.com/pm-management-development-jobs,2026-06-21T20:54:22.576479+00:00
Change Healthcare,https://careers.unitedhealthgroup.com/,Workday,research,Security and risk,https://careers.unitedhealthgroup.com/security-jobs,2026-06-21T20:54:22.576479+00:00
